"subject" "speed" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"30" "AD" 25.119 2 112 -0.183185490566303 -0.0220632630391701 1
"31" "AD" 31.6243011303319 1 56 -0.139657054605246 -0.0150427385646043 1
"32" "AD" 31.6243011303319 1 112 -0.192811287480966 -0.0382044305703616 1
"33" "AD" 31.6243011303319 2 112 -0.189336875809988 -0.0475693723266985 1
"34" "AD" 39.182 2 112 -0.272997333593231 -0.0196098345208189 1
"35" "FE" 6.31 1 112 -1.13142768111832 -0.0906752841160146 1
"36" "FE" 7.94415940652074 1 112 -0.671892020097453 -0.0572660529087323 1
"37" "FE" 7.94415940652074 2 112 -0.236022585373359 -0.0192895241786452 1
"38" "FE" 10 2 112 -0.231058124432973 -0.0432388530656412 1
"39" "FE" 12.5897930372753 2 112 -0.157009186406745 -0.0238078013700096 1
"40" "FE" 15.849 2 56 -0.342835941991443 -0.0171928926684515 1
"41" "MA" 7.94415940652074 2 56 -0.239141414432449 -0.0114878867265318 1
"42" "MA" 7.94415940652074 2 112 -0.185523415567037 -0.0197629269499863 1
"43" "MA" 10 2 112 -0.245209149695505 -0.032514424738925 1
"44" "MA" 12.5897930372753 2 112 -0.18434381810224 -0.0348057118588048 1
"45" "MA" 25.119 1 56 -0.367674391668217 -0.0301022332285839 1
"46" "MA" 31.6243011303319 1 56 -0.215958504621228 -0.0186130769484135 1
"47" "MC" 5.01199660813932 2 56 -0.372367065810784 -0.0395743598822487 1
"48" "MC" 6.31 2 56 -0.421265147929546 -0.0391859559524054 1
"49" "MC" 7.94415940652074 2 56 -0.307812145973423 -0.0759619222248798 1
"50" "MC" 10 2 56 -0.2915153207362 -0.0484810447902134 1
"51" "MC" 12.5897930372753 1 56 -0.25601059337225 -0.0702578179029802 1
"52" "MC" 12.5897930372753 2 56 -0.210024730563483 -0.0500051398057447 1
"53" "MC" 12.5897930372753 2 112 -0.147414924622475 -0.0232525597595438 1
"54" "MC" 15.849 1 56 -0.311641677728083 -0.0940110343278736 1
"55" "MC" 15.849 2 56 -0.197053921694465 -0.00337161853325379 1
"56" "MC" 15.849 2 112 -0.166540442990739 -0.00920998432167154 1
"57" "MC" 19.9535629847777 1 56 -0.270135400143217 -0.124591947327807 1
"58" "MC" 19.9535629847777 1 112 -0.170342539939157 -0.0510952730584783 1
"59" "MC" 19.9535629847777 2 56 -0.195398990992601 -0.0672545903389991 1
"60" "MC" 19.9535629847777 2 112 -0.129053687041888 -0.0145881329858897 1
"61" "MC" 25.119 1 56 -0.315418363982834 -0.0813248433586149 1
"62" "MC" 25.119 1 112 -0.251129976397404 -0.0892969616809673 1
"63" "MC" 25.119 2 56 -0.251760117342484 -0.0913297659513558 1
"64" "MC" 31.6243011303319 1 56 -0.246421134465023 -0.0888797584221264 1
"65" "MC" 31.6243011303319 1 112 -0.180447147310217 -0.0599759219683059 1
"66" "MC" 31.6243011303319 2 56 -0.185986126200039 -0.0471564764001104 1
"67" "MC" 39.182 1 56 -0.251520225553871 -0.0132417605870648 1
"68" "MP" 7.94415940652074 2 112 -0.143798267130374 -0.0192931631094035 1
"69" "MP" 10 1 112 -0.157492770435381 -0.00246867692444563 1
"70" "MP" 10 2 112 -0.157273976528968 -0.00861835107803202 1
"71" "MP" 12.5897930372753 1 112 -0.117986645119193 -0.00107326700267732 1
"72" "MP" 12.5897930372753 2 56 -0.152504926851035 -0.00412997921070308 1
"73" "MP" 12.5897930372753 2 112 -0.137373216969514 -0.0246957221243908 1
"74" "MP" 19.9535629847777 1 56 -0.151280714173717 -0.0126879889245448 1
"75" "MP" 19.9535629847777 1 112 -0.122415870346639 -0.00827192881531032 1
"76" "MP" 25.119 1 56 -0.182682091925634 -0.000621946789693394 1
"77" "MP" 25.119 1 112 -0.203723384753278 -0.0164519039054243 1
"78" "MP" 31.6243011303319 1 56 -0.148059287289421 -0.0284085903008464 1
"79" "MP" 31.6243011303319 1 112 -0.160789595822699 -0.0200198645095524 1
"80" "MP" 31.6243011303319 2 56 -0.135819760139565 -0.0131597037433163 1
"81" "MP" 39.182 1 56 -0.174016194691966 -0.00182916262325445 1
"82" "MP" 39.182 2 56 -0.229167584732762 -0.0478366070456981 1
