"subject" "radius" "number" "durationTest" "sample" "tf" "psesample"
"116" "AB" 2 1 56 9 0.630611673265862 1.00941563834376
"117" "AB" 2 1 56 9 0.633595828448835 1.01052755252061
"118" "AB" 2 1 56 9 0.795774715459477 1.07095638165179
"119" "AB" 2 1 56 9 0.99945325388133 1.09610314142045
"120" "AB" 2 1 56 9 1.00426769090986 1.09669754617373
"121" "AB" 2 1 56 9 1.26122334653172 1.12842205771622
"122" "AB" 2 1 56 9 1.55900224505666 1.13513698426988
"123" "AB" 2 1 56 9 1.59154943091895 1.13587092466551
"124" "AB" 2 1 56 9 1.99890650776266 1.1450568437003
"125" "AB" 2 1 56 9 2.52244669306345 1.1911923743036
"126" "AB" 2 1 56 9 3.11800449011332 1.24367425772587
"127" "AB" 2 1 56 10 0.316797914224418 0.949409294597741
"128" "AB" 2 1 56 10 0.397887357729738 0.972490399300419
"129" "AB" 2 1 56 10 0.50213384545493 1.00216286952663
"130" "AB" 2 1 56 10 0.630611673265862 1.02988166025344
"131" "AB" 2 1 56 10 0.633595828448835 1.03052548475159
"132" "AB" 2 1 56 10 0.795774715459477 1.06551520014412
"133" "AB" 2 1 56 10 0.99945325388133 1.07153154249852
"134" "AB" 2 1 56 10 1.00426769090986 1.07167375336488
"135" "AB" 2 1 56 10 1.26122334653172 1.07926381762054
"136" "AB" 2 1 56 10 1.55900224505666 1.09862764487208
"137" "AB" 2 1 56 10 1.59154943091895 1.10074410808584
"138" "AB" 2 1 56 10 1.99890650776266 1.12723353398125
"139" "AB" 2 1 56 10 2.52244669306345 1.17566856028627
"140" "AB" 2 1 56 10 3.11800449011332 1.23076625550846
"141" "AB" 2 1 56 11 0.316797914224418 0.950248843479573
"142" "AB" 2 1 56 11 0.397887357729738 0.959795564760411
"143" "AB" 2 1 56 11 0.50213384545493 0.972068582304963
"144" "AB" 2 1 56 11 0.630611673265862 1.02044923487146
"145" "AB" 2 1 56 11 0.633595828448835 1.02157297254334
"146" "AB" 2 1 56 11 0.795774715459477 1.08264436921755
"147" "AB" 2 1 56 11 0.99945325388133 1.09445179908583
"148" "AB" 2 1 56 11 1.00426769090986 1.0947308963732
"149" "AB" 2 1 56 11 1.26122334653172 1.10962684911579
"150" "AB" 2 1 56 11 1.55900224505666 1.11844734217847
"151" "AB" 2 1 56 11 1.59154943091895 1.11941142065592
"152" "AB" 2 1 56 11 1.99890650776266 1.1314777231647
"153" "AB" 2 1 56 11 2.52244669306345 1.16579987757639
"154" "AB" 2 1 56 11 3.11800449011332 1.20484334977841
"155" "AB" 2 1 56 12 0.316797914224418 0.90227489493266
"156" "AB" 2 1 56 12 0.397887357729738 0.94737849515969
"157" "AB" 2 1 56 12 0.50213384545493 1.00536251507864
"158" "AB" 2 1 56 12 0.630611673265862 1.01662917831969
"159" "AB" 2 1 56 12 0.633595828448835 1.01689086916611
"160" "AB" 2 1 56 12 0.795774715459477 1.03111289436603
"161" "AB" 2 1 56 12 0.99945325388133 1.03490957132847
"162" "AB" 2 1 56 12 1.00426769090986 1.03499931501131
"163" "AB" 2 1 56 12 1.26122334653172 1.03978910595161
