"subject" "radius" "number" "durationTest" "speed" "pse"
"112" "AD" 2 2 56 6.31 1.06028125853626
"113" "AD" 2 2 56 10 1.04090974281578
"114" "AD" 2 2 56 15.849 1.07618872033982
"115" "AD" 2 2 56 25.119 1.10618114115056
"116" "AD" 2 2 56 39.182 1.14778530218994
"117" "AD" 2 2 56 5.01199660813932 1.07706888580788
"118" "AD" 2 2 56 7.94415940652074 1.05170235755166
"119" "AD" 2 2 56 12.5897930372753 1.05653040452786
"120" "AD" 2 2 56 19.9535629847777 1.08946873978789
"121" "AD" 2 2 56 31.6243011303319 1.12542650813029
"122" "AD" 2 2 112 3.981 0.948716295803205
"123" "AD" 2 2 112 6.31 0.925460206893691
"124" "AD" 2 2 112 10 0.941272132115815
"125" "AD" 2 2 112 15.849 1.07425265603803
"126" "AD" 2 2 112 25.119 1.13027031757268
"127" "AD" 2 2 112 39.182 1.21932895739128
"128" "AD" 2 2 112 5.01199660813932 0.938421341408918
"129" "AD" 2 2 112 7.94415940652074 0.93246270183595
"130" "AD" 2 2 112 12.5897930372753 1.00015263048254
"131" "AD" 2 2 112 19.9535629847777 1.09905611019433
"132" "AD" 2 2 112 31.6243011303319 1.17146730756612
"133" "AD" 4 1 56 3.981 1.0984871320543
"134" "AD" 4 1 56 6.31 1.16377075900242
"135" "AD" 4 1 56 10 1.03054568496964
"136" "AD" 4 1 56 15.849 1.03298490854867
"137" "AD" 4 1 56 25.119 0.976976170119483
"138" "AD" 4 1 56 39.182 1.083643154006
"139" "AD" 4 1 56 5.01199660813932 1.12738674474238
"140" "AD" 4 1 56 7.94415940652074 1.1047704858547
"141" "AD" 4 1 56 12.5897930372753 1.03162571304988
"142" "AD" 4 1 56 19.9535629847777 1.00818540535767
"143" "AD" 4 1 56 31.6243011303319 1.02631847623099
"144" "AD" 4 1 112 3.981 1.02085861222346
"145" "AD" 4 1 112 6.31 0.992751044206964
"146" "AD" 4 1 112 10 0.829490220286423
"147" "AD" 4 1 112 15.849 0.855209438651057
"148" "AD" 4 1 112 25.119 0.93105083428748
"149" "AD" 4 1 112 39.182 1.03584752047812
"150" "AD" 4 1 112 5.01199660813932 1.00841601570648
"151" "AD" 4 1 112 7.94415940652074 0.920449089972254
"152" "AD" 4 1 112 12.5897930372753 0.840878056266059
"153" "AD" 4 1 112 19.9535629847777 0.888790429507922
"154" "AD" 4 1 112 31.6243011303319 0.979527972958533
"155" "AD" 4 2 56 3.981 1.11990087563105
"156" "AD" 4 2 56 6.31 1.06638026949635
"157" "AD" 4 2 56 10 1.06872686919697
"158" "AD" 4 2 56 15.849 1.03777283629667
"159" "AD" 4 2 56 25.119 1.03938044646885
"160" "AD" 4 2 56 39.182 1.09131847781418
"161" "AD" 4 2 56 5.01199660813932 1.09620849117831
"162" "AD" 4 2 56 7.94415940652074 1.06741948845952
"163" "AD" 4 2 56 12.5897930372753 1.05502118636558
"164" "AD" 4 2 56 19.9535629847777 1.03848465260807
"165" "AD" 4 2 56 31.6243011303319 1.06340608353192
"166" "AD" 4 2 112 3.981 1.03033399535651
"167" "AD" 4 2 112 6.31 0.969540717629346
"168" "AD" 4 2 112 10 0.914620483383409
"169" "AD" 4 2 112 15.849 0.957163029642703
"170" "AD" 4 2 112 25.119 1.03430934843113
