"subject" "radius" "number" "durationTest" "speedMatch" "pse"
"38" "AB" 2 2 112 25.1740189959826 1.13181150633574
"39" "AB" 2 2 112 44.0660623449028 1.11907524702927
"40" "AB" 2 2 112 58.4370787211717 1.07097964450039
"41" "AB" 2 2 112 5.25775709382226 0.925467142822519
"42" "AB" 2 2 112 7.54338467319236 0.950681051268629
"43" "AB" 2 2 112 10.6411956689465 0.984854563845786
"44" "AB" 2 2 112 15.2255952017002 1.0627337469552
"45" "AB" 2 2 112 20.7992290517128 1.10253917213534
"46" "AB" 2 2 112 32.7596784249062 1.12669755843117
"47" "AB" 4 1 56 4.94796232496649 0.949658140437184
"48" "AB" 4 1 56 7.36779560647782 0.966111593225455
"49" "AB" 4 1 56 13.0706377281482 1.02033722333795
"50" "AB" 4 1 56 21.983668118443 1.05400021426791
"51" "AB" 4 1 56 3.63192356335342 0.924636092460383
"52" "AB" 4 1 56 6.01690089865665 0.969982034425189
"53" "AB" 4 1 56 9.28422893381118 0.960620830352737
"54" "AB" 4 1 56 13.2218567334743 1.02272213580762
"55" "AB" 4 1 56 24.2081940952454 1.06194136878292
"56" "AB" 4 1 56 32.7271308550138 1.10855990992586
"57" "AB" 4 1 112 4.94796232496649 0.839565205961265
"58" "AB" 4 1 112 7.36779560647782 0.872027410822008
"59" "AB" 4 1 112 13.0706377281482 1.01956469187881
"60" "AB" 4 1 112 21.983668118443 1.10025897753437
"61" "AB" 4 1 112 3.63192356335342 0.809158501106242
"62" "AB" 4 1 112 6.01690089865665 0.86426273058319
"63" "AB" 4 1 112 9.28422893381118 0.883042697135298
"64" "AB" 4 1 112 13.2218567334743 1.02501701395273
"65" "AB" 4 1 112 24.2081940952454 1.11936207108191
"66" "AB" 4 1 112 32.7271308550138 1.13281220107853
"67" "AB" 4 2 56 11.42507822732 1.09119450723469
"68" "AB" 4 2 56 15.4435040064337 1.09688039705875
"69" "AB" 4 2 56 25.1740189959826 1.12726404920517
"70" "AB" 4 2 56 5.25775709382226 0.963002402860225
"71" "AB" 4 2 56 7.54338467319236 1.06022774011242
"72" "AB" 4 2 56 10.6411956689465 1.09015362063752
"73" "AB" 4 2 56 15.2255952017002 1.09624106317434
"74" "AB" 4 2 56 20.7992290517128 1.11259383507798
"75" "AB" 4 2 56 32.7596784249062 1.15270144152249
"76" "AB" 4 2 112 11.42507822732 1.00748076379341
"77" "AB" 4 2 112 15.4435040064337 1.05346346649063
"78" "AB" 4 2 112 25.1740189959826 1.09186904102451
"79" "AB" 4 2 112 5.25775709382226 0.860491962106093
"80" "AB" 4 2 112 7.54338467319236 0.907814224412544
"81" "AB" 4 2 112 10.6411956689465 0.998283808181547
"82" "AB" 4 2 112 15.2255952017002 1.05207058856007
"83" "AB" 4 2 112 20.7992290517128 1.0876973801999
"84" "AB" 4 2 112 32.7596784249062 1.09910248506904
"85" "AD" 2 1 56 6.35047956679012 1.0442716094589
"86" "AD" 2 1 56 9.41942172137319 1.0746093074811
"87" "AD" 2 1 56 11.7287285173508 0.979077329605244
"88" "AD" 2 1 56 18.5854147142509 1.02637590012007
"89" "AD" 2 1 56 25.1957377491615 1.05980527729188
"90" "AD" 2 1 56 48.726871185387 1.14671571089924
"91" "AD" 2 1 56 6.54211143092642 1.0461659656679
"92" "AD" 2 1 56 10.9441230559268 1.01153508346999
"93" "AD" 2 1 56 12.5850580011662 0.98498443389893
"94" "AD" 2 1 56 21.7042552225016 1.04214833592062
"95" "AD" 2 1 56 30.9498493296375 1.08105764636452
"96" "AD" 2 1 112 6.35047956679012 0.825150825814192
"97" "AD" 2 1 112 9.41942172137319 0.803906223578673
"98" "AD" 2 1 112 11.7287285173508 0.879161208248995
"99" "AD" 2 1 112 18.5854147142509 0.988537336948236
"100" "AD" 2 1 112 25.1957377491615 1.08277866974349
"101" "AD" 2 1 112 48.726871185387 1.09887307011649
"102" "AD" 2 1 112 6.54211143092642 0.823824263590415
"103" "AD" 2 1 112 10.9441230559268 0.853592725068432
"104" "AD" 2 1 112 12.5850580011662 0.892821160176369
"105" "AD" 2 1 112 21.7042552225016 1.03300168229431
"106" "AD" 2 1 112 30.9498493296375 1.08671426323362
"107" "AD" 2 2 56 6.18968998899636 1.09040320132992
"108" "AD" 2 2 56 9.83001827909247 1.06028125853626
"109" "AD" 2 2 56 13.1570635459449 1.04090974281578
"110" "AD" 2 2 56 19.0310357475796 1.07618872033982
"111" "AD" 2 2 56 26.5522810575907 1.10618114115056
"112" "AD" 2 2 56 54.743895310075 1.14778530218994
"113" "AD" 2 2 56 8.34885492331197 1.07253716358534
"114" "AD" 2 2 56 7.95121465293476 1.07582744306627
"115" "AD" 2 2 56 14.7304958999504 1.05035975087627
"116" "AD" 2 2 56 21.9397672931848 1.08778785013089
"117" "AD" 2 2 56 40.2655481919691 1.12641868303536
"118" "AD" 2 2 112 6.18968998899636 0.948716295803205
"119" "AD" 2 2 112 9.83001827909247 0.925460206893691
"120" "AD" 2 2 112 13.1570635459449 0.941272132115815
"121" "AD" 2 2 112 19.0310357475796 1.07425265603803
"122" "AD" 2 2 112 26.5522810575907 1.13027031757268
"123" "AD" 2 2 112 54.743895310075 1.21932895739128
"124" "AD" 2 2 112 8.34885492331197 0.934922558623138
"125" "AD" 2 2 112 7.95121465293476 0.937462867283501
"126" "AD" 2 2 112 14.7304958999504 0.976892978045863
"127" "AD" 2 2 112 21.9397672931848 1.0959166667837
"128" "AD" 2 2 112 40.2655481919691 1.17359117559518
"129" "AD" 4 1 56 6.35047956679012 1.12026739991309
"130" "AD" 4 1 56 9.41942172137319 1.07669014470258
"131" "AD" 4 1 56 11.7287285173508 1.03171198845248
"132" "AD" 4 1 56 18.5854147142509 0.99613161966062
"133" "AD" 4 1 56 25.1957377491615 1.01725761727103
"134" "AD" 4 1 56 6.25453770348259 1.0984871320543
"135" "AD" 4 1 56 6.54211143092642 1.16377075900242
"136" "AD" 4 1 56 10.9441230559268 1.03054568496964
"137" "AD" 4 1 56 12.5850580011662 1.03298490854867
"138" "AD" 4 1 56 21.7042552225016 0.976976170119483
"139" "AD" 4 1 56 30.9498493296375 1.083643154006
"140" "AD" 4 1 112 6.35047956679012 1.0114812171724
"141" "AD" 4 1 112 9.41942172137319 0.886038002827081
"142" "AD" 4 1 112 11.7287285173508 0.841787745700817
"143" "AD" 4 1 112 18.5854147142509 0.905112452742256
"144" "AD" 4 1 112 25.1957377491615 0.970625986997686
"145" "AD" 4 1 112 6.25453770348259 1.02085861222346
