"subject" "radius" "speed" "number" "freq" "tf" "durationTest" "x" "xmin" "xmax" "meandur" "pse" "psemin" "psemax" "angle" "speedMatch" "speedMatchMin" "speedMatchMax" "freqMatch" "freqMatchMin" "freqMatchMax" "tfMatch" "tfMatchMin" "tfMatchMax" "freqMatchDif" "freqMatchMinDif" "freqMatchMaxDif"
"15" "AB" 2 3.981 2 0.316797914224418 0.633595828448835 112 7.62566459020982 7.57625643479308 7.6847221603549 1906.66666666667 0.924750428140408 0.859336210265243 0.976585445410263 0.591356106552246 5.265428199225 4.56980218778196 5.92534491243725 0.279339641800705 0.242435535712552 0.314349310779601 0.279339641800705 0.242435535712552 0.314349310779601 -0.0374582724237124 -0.0743623785118655 -0.00244860344481695
"16" "AB" 2 3.981 2 0.316797914224418 0.633595828448835 56 6.83279615212093 6.78945777167051 6.87933912156634 956.666666666667 1.03019365133262 0.983989075579579 1.07132575083614 0.295678053276123 5.265428199225 4.56980218778196 5.92534491243725 0.279339641800705 0.242435535712552 0.314349310779601 0.279339641800705 0.242435535712552 0.314349310779601 -0.0374582724237124 -0.0743623785118655 -0.00244860344481695
"17" "AB" 2 39.182 1 3.11800449011332 3.11800449011332 112 7.44018059708326 7.37660008813167 7.50238945090364 1906.66666666667 1.10678788777426 1.04945744302221 1.16181103406165 5.82027504821153 50.9083878815167 46.79080890185 54.55872 2.70077385872764 2.48232950933256 2.89442999225555 2.70077385872764 2.48232950933256 2.89442999225555 -0.417230631385682 -0.63567498078076 -0.223574497857772
"18" "AB" 2 39.182 1 3.11800449011332 3.11800449011332 56 6.62478427319609 6.53466724309917 6.68036568732017 956.666666666667 1.21232581614245 1.1673062344224 1.28020424223618 2.91013752410577 50.9083878815167 46.79080890185 54.55872 2.70077385872764 2.48232950933256 2.89442999225555 2.70077385872764 2.48232950933256 2.89442999225555 -0.417230631385682 -0.63567498078076 -0.223574497857772
"19" "AB" 2 39.182 2 3.11800449011332 6.23600898022664 112 7.4794871664918 7.43224974144307 7.52459370606399 1906.66666666667 1.07097964450039 1.02811528705916 1.1138438073687 5.82027504821153 58.7961292798333 53.3914309288925 63.0697361502833 3.11923153651853 2.83250338369425 3.3459534226064 3.11923153651853 2.83250338369425 3.3459534226064 0.00122704640520999 -0.285501106419073 0.227948932493078
"20" "AB" 2 39.182 2 3.11800449011332 6.23600898022664 56 6.63630571715106 6.50793817435492 6.70873783314709 956.666666666667 1.20319819143944 1.14334258286545 1.29918886165606 2.91013752410577 58.7961292798333 53.3914309288925 63.0697361502833 3.11923153651853 2.83250338369425 3.3459534226064 3.11923153651853 2.83250338369425 3.3459534226064 0.00122704640520999 -0.285501106419073 0.227948932493078
"21" "AB" 2 6.31 1 0.50213384545493 0.50213384545493 112 7.57500038629882 7.51734303715718 7.63329593364159 1906.66666666667 0.97787009675947 0.916513439713946 1.03513661590238 0.937316511515869 7.48678289788667 6.43316855314 8.48014733138167 0.397186168684843 0.341290191658522 0.449885788645646 0.397186168684843 0.341290191658522 0.449885788645646 -0.104947676770087 -0.160843653796407 -0.052248056809284
"22" "AB" 2 6.31 1 0.50213384545493 0.50213384545493 56 6.87750134626635 6.83804509963081 6.91875708525984 956.666666666667 0.985854560664749 0.943140192993578 1.02508980552253 0.468658255757934 7.48678289788667 6.43316855314 8.48014733138167 0.397186168684843 0.341290191658522 0.449885788645646 0.397186168684843 0.341290191658522 0.449885788645646 -0.104947676770087 -0.160843653796407 -0.052248056809284
"23" "AB" 2 6.31 2 0.50213384545493 1.00426769090986 112 7.55958880753918 7.51243541993085 7.60637601006083 1906.66666666667 0.993501966965055 0.945291722624267 1.03986019582564 0.937316511515869 11.5435529647983 10.4726765124655 13.1066802246817 0.612404505063586 0.55559274478709 0.69533098176096 0.612404505063586 0.55559274478709 0.69533098176096 0.110270659608656 0.0534588993321597 0.193197136306031
"24" "AB" 2 6.31 2 0.50213384545493 1.00426769090986 56 6.75638076178075 6.70275333511639 6.80326109000933 956.666666666667 1.10154104752569 1.05841808517533 1.14845393778961 0.468658255757934 11.5435529647983 10.4726765124655 13.1066802246817 0.612404505063586 0.55559274478709 0.69533098176096 0.612404505063586 0.55559274478709 0.69533098176096 0.110270659608656 0.0534588993321597 0.193197136306031
