"subject" "radius" "speed" "number" "speedMatch" "speedMatchMin" "speedMatchMax" "freq" "tf"
"26" "MA" 2 3.981 2 3.61826920904017 2.80915003523267 4.63422814100778 0.316797914224418 0.633595828448835
"27" "MA" 2 6.31 1 6.49136095865141 5.22438083615516 7.97793671777727 0.50213384545493 0.50213384545493
"28" "MA" 2 6.31 2 7.48669316618493 5.5298131694795 9.01209021033239 0.50213384545493 1.00426769090986
"29" "MA" 2 10 1 8.96275627046939 7.69196500312375 10.4673185778966 0.795774715459477 0.795774715459477
"30" "MA" 2 10 2 12.0594885349691 10.1140356955675 15.3968740320529 0.795774715459477 1.59154943091895
"31" "MA" 2 15.849 1 14.6431857206676 13.2885564231228 16.2074934479887 1.26122334653172 1.26122334653172
"32" "MA" 2 15.849 2 17.7722797273504 15.8134833129825 20.1629754684925 1.26122334653172 2.52244669306345
"33" "MA" 2 25.119 1 27.2285284872824 22.5191525547864 31.7627135272979 1.99890650776266 1.99890650776266
"34" "MA" 2 25.119 2 31.1668224818146 26.2157809744258 35.5416400315452 1.99890650776266 3.99781301552532
"35" "MA" 2 39.182 1 52.9817597321351 46.1031885720156 63.5190553024288 3.11800449011332 3.11800449011332
"36" "MA" 2 39.182 2 72.6229910274853 60.9310865068786 86.7265127067287 3.11800449011332 6.23600898022664
"37" "MA" 4 3.981 1 4.04775917421211 2.75720889924258 5.92161462447654 0.158398957112209 0.158398957112209
"38" "MA" 4 3.981 2 3.81692678336021 2.58711378886937 5.611654670605 0.158398957112209 0.316797914224418
"39" "MA" 4 6.31 1 5.26064563835994 3.97588400833755 7.04780173101538 0.251066922727465 0.251066922727465
"40" "MA" 4 6.31 2 6.56089110533682 5.78369410302098 7.40076291047286 0.251066922727465 0.50213384545493
"41" "MA" 4 10 1 8.85629760362432 6.65656392879329 11.1700788968251 0.397887357729738 0.397887357729738
"42" "MA" 4 10 2 10.6554014174253 8.80957209134639 12.9001369117338 0.397887357729738 0.795774715459477
