"subject" "radius" "number" "durationTest" "sample" "speed" "psesample"
"71" "AB" 2 1 56 7 25.119 1.12879761937906
"72" "AB" 2 1 56 7 39.182 1.23545284499729
"73" "AB" 2 1 56 7 5.01199660813932 0.941189218232984
"74" "AB" 2 1 56 7 7.94415940652074 1.01307684098689
"75" "AB" 2 1 56 7 12.5897930372753 1.07743730233577
"76" "AB" 2 1 56 7 19.9535629847777 1.1153361781692
"77" "AB" 2 1 56 7 31.6243011303319 1.17813448631855
"78" "AB" 2 1 56 8 3.981 0.883727598103179
"79" "AB" 2 1 56 8 6.31 0.952568432518416
"80" "AB" 2 1 56 8 10 1.05801423162452
"81" "AB" 2 1 56 8 15.849 1.08497487425888
"82" "AB" 2 1 56 8 25.119 1.14818874050922
"83" "AB" 2 1 56 8 39.182 1.18279530798569
"84" "AB" 2 1 56 8 5.01199660813932 0.914201907585184
"85" "AB" 2 1 56 8 7.94415940652074 0.999266330753467
"86" "AB" 2 1 56 8 12.5897930372753 1.06995173967289
"87" "AB" 2 1 56 8 19.9535629847777 1.11296465802758
"88" "AB" 2 1 56 8 31.6243011303319 1.1641971414565
"89" "AB" 2 1 56 9 3.981 0.970785375876216
"90" "AB" 2 1 56 9 6.31 0.961544026649795
"91" "AB" 2 1 56 9 10 1.07095638165179
"92" "AB" 2 1 56 9 15.849 1.12842205771622
"93" "AB" 2 1 56 9 25.119 1.1450568437003
"94" "AB" 2 1 56 9 39.182 1.24367425772587
"95" "AB" 2 1 56 9 5.01199660813932 0.966694435684258
"96" "AB" 2 1 56 9 7.94415940652074 1.00999856028559
"97" "AB" 2 1 56 9 12.5897930372753 1.09640076663281
"98" "AB" 2 1 56 9 19.9535629847777 1.13578759458892
"99" "AB" 2 1 56 9 31.6243011303319 1.19067555769667
"100" "AB" 2 1 56 10 3.981 0.949409294597741
"101" "AB" 2 1 56 10 6.31 1.00216286952663
"102" "AB" 2 1 56 10 10 1.06551520014412
"103" "AB" 2 1 56 10 15.849 1.07926381762054
"104" "AB" 2 1 56 10 25.119 1.12723353398125
"105" "AB" 2 1 56 10 39.182 1.23076625550846
"106" "AB" 2 1 56 10 5.01199660813932 0.972762131359831
"107" "AB" 2 1 56 10 7.94415940652074 1.03021918578776
"108" "AB" 2 1 56 10 12.5897930372753 1.07160274909481
"109" "AB" 2 1 56 10 19.9535629847777 1.10050380922404
"110" "AB" 2 1 56 10 31.6243011303319 1.17512598440984
"111" "AB" 2 1 56 11 3.981 0.950248843479573
"112" "AB" 2 1 56 11 6.31 0.972068582304963
"113" "AB" 2 1 56 11 10 1.08264436921755
"114" "AB" 2 1 56 11 15.849 1.10962684911579
"115" "AB" 2 1 56 11 25.119 1.1314777231647
"116" "AB" 2 1 56 11 39.182 1.20484334977841
"117" "AB" 2 1 56 11 5.01199660813932 0.959907957571227
"118" "AB" 2 1 56 11 7.94415940652074 1.0210383552905
"119" "AB" 2 1 56 11 12.5897930372753 1.09459154626814
"120" "AB" 2 1 56 11 19.9535629847777 1.11930196117687
"121" "AB" 2 1 56 11 31.6243011303319 1.16541539604657
"122" "AB" 2 1 56 12 3.981 0.90227489493266
"123" "AB" 2 1 56 12 6.31 1.00536251507864
"124" "AB" 2 1 56 12 10 1.03111289436603
"125" "AB" 2 1 56 12 15.849 1.03978910595161
"126" "AB" 2 1 56 12 25.119 1.15635721506272
"127" "AB" 2 1 56 12 39.182 1.25570212018602
"128" "AB" 2 1 56 12 5.01199660813932 0.947909496354583
"129" "AB" 2 1 56 12 7.94415940652074 1.01676636996589
"130" "AB" 2 1 56 12 12.5897930372753 1.03495450700995
"131" "AB" 2 1 56 12 19.9535629847777 1.09140303754417
"132" "AB" 2 1 56 12 31.6243011303319 1.20231245388739
"133" "AB" 2 1 56 13 3.981 0.964831630679214
"134" "AB" 2 1 56 13 6.31 0.96484165805957
"135" "AB" 2 1 56 13 10 1.03886221183614
"136" "AB" 2 1 56 13 15.849 1.1161340925798
"137" "AB" 2 1 56 13 25.119 1.13970672944286
"138" "AB" 2 1 56 13 39.182 1.28865458475219
"139" "AB" 2 1 56 13 5.01199660813932 0.964836069577941
"140" "AB" 2 1 56 13 7.94415940652074 0.99762252099449
"141" "AB" 2 1 56 13 12.5897930372753 1.0730762960774
"142" "AB" 2 1 56 13 19.9535629847777 1.12657156536531
"143" "AB" 2 1 56 13 31.6243011303319 1.20860743708023
"144" "AB" 2 1 56 14 3.981 0.924115053830357
"145" "AB" 2 1 56 14 6.31 0.982227667931987
"146" "AB" 2 1 56 14 10 1.05265637916037
"147" "AB" 2 1 56 14 15.849 1.13031765983333
"148" "AB" 2 1 56 14 25.119 1.13904481082641
"149" "AB" 2 1 56 14 39.182 1.21753070021478
"150" "AB" 2 1 56 14 5.01199660813932 0.949840218291022
"151" "AB" 2 1 56 14 7.94415940652074 1.01341784162928
"152" "AB" 2 1 56 14 12.5897930372753 1.08704288009262
"153" "AB" 2 1 56 14 19.9535629847777 1.13418186058077
"154" "AB" 2 1 56 14 31.6243011303319 1.17535102891311
"155" "AB" 2 1 56 15 3.981 0.971578785502354
"156" "AB" 2 1 56 15 6.31 0.966014083145049
"157" "AB" 2 1 56 15 10 1.0199009205003
"158" "AB" 2 1 56 15 15.849 1.08384358603336
"159" "AB" 2 1 56 15 25.119 1.18650533556122
"160" "AB" 2 1 56 15 39.182 1.19780251893385
"161" "AB" 2 1 56 15 5.01199660813932 0.969115415276641
"162" "AB" 2 1 56 15 7.94415940652074 0.989878495652295
"163" "AB" 2 1 56 15 12.5897930372753 1.04821315677699
"164" "AB" 2 1 56 15 19.9535629847777 1.12930007115359
"165" "AB" 2 1 56 15 31.6243011303319 1.19173121764638
"166" "AB" 2 1 56 16 3.981 0.953615620370345
"167" "AB" 2 1 56 16 6.31 0.975314681554975
"168" "AB" 2 1 56 16 10 1.07459395751602
"169" "AB" 2 1 56 16 15.849 1.11808711949535
"170" "AB" 2 1 56 16 25.119 1.160341754182
"171" "AB" 2 1 56 16 39.182 1.164447293458
"172" "AB" 2 1 56 16 5.01199660813932 0.96322131314886
"173" "AB" 2 1 56 16 7.94415940652074 1.01928166331224
"174" "AB" 2 1 56 16 12.5897930372753 1.0938516576465
"175" "AB" 2 1 56 16 19.9535629847777 1.1367965919301
"176" "AB" 2 1 56 16 31.6243011303319 1.16224090580632
"177" "AB" 2 1 56 17 3.981 0.947574987315414
"178" "AB" 2 1 56 17 6.31 0.957836106814532
"179" "AB" 2 1 56 17 10 1.04273913474657
"180" "AB" 2 1 56 17 15.849 1.11205166912614
"181" "AB" 2 1 56 17 25.119 1.12681406819284
"182" "AB" 2 1 56 17 39.182 1.2031900873526
"183" "AB" 2 1 56 17 5.01199660813932 0.952117357173423
"184" "AB" 2 1 56 17 7.94415940652074 0.995436399968254
"185" "AB" 2 1 56 17 12.5897930372753 1.07342901659511
"186" "AB" 2 1 56 17 19.9535629847777 1.11858815205771
