"subject" "radius" "number" "durationTest" "freqMatch" "pse"
"80" "FE" 2 1 56 0.303237073640551 0.931731590912939
"81" "FE" 2 1 56 0.424458888157432 0.999211279295952
"82" "FE" 2 1 56 0.603494867212866 1.04602537774885
"83" "FE" 2 1 56 0.879046657302927 1.0881070953247
"84" "FE" 2 1 56 1.44402589833846 1.07752542930319
"85" "FE" 2 1 112 0.320364880870382 0.894900733153164
"86" "FE" 2 1 112 0.498755452528444 0.964059593294503
"87" "FE" 2 1 112 0.91716794038165 1.04279023244002
"88" "FE" 2 1 112 1.2812022078712 1.14761143779127
"89" "FE" 2 1 112 2.09325995469359 1.13990435065418
"90" "FE" 2 1 112 0.303237073640551 0.862702092368782
"91" "FE" 2 1 112 0.424458888157432 0.946132183995426
"92" "FE" 2 1 112 0.603494867212866 0.983999743113991
"93" "FE" 2 1 112 0.879046657302927 1.03564531284812
"94" "FE" 2 1 112 1.44402589833846 1.15008335007821
"95" "FE" 2 2 56 0.457779488002724 0.927356522638272
"96" "FE" 2 2 56 0.665345203086195 1.05060846280228
"97" "FE" 2 2 56 1.05155924362371 1.18987264332687
"98" "FE" 2 2 56 1.49507427035245 1.09496340058891
"99" "FE" 2 2 56 2.46411620727421 1.12257527950264
"100" "FE" 2 2 56 0.363678901507263 0.893720232635525
"101" "FE" 2 2 56 0.58316645895587 1.0010953288352
"102" "FE" 2 2 56 0.75937667458979 1.08657899915092
"103" "FE" 2 2 56 1.02203069766854 1.17943358418309
"104" "FE" 2 2 56 1.53954741810961 1.09527900968209
"105" "FE" 2 2 56 2.40909545077834 1.12095088829169
"106" "FE" 2 2 112 0.457779488002724 0.899413483700427
"107" "FE" 2 2 112 0.665345203086195 1.0411230171681
"108" "FE" 2 2 112 1.05155924362371 1.10689720352108
"109" "FE" 2 2 112 1.49507427035245 1.21770314591478
"110" "FE" 2 2 112 2.46411620727421 1.25249568607387
"111" "FE" 2 2 112 0.363678901507263 0.858062882700515
"112" "FE" 2 2 112 0.58316645895587 0.984281185232982
"113" "FE" 2 2 112 0.75937667458979 1.06158518481736
"114" "FE" 2 2 112 1.02203069766854 1.10231788165723
"115" "FE" 2 2 112 1.53954741810961 1.22011534678392
"116" "FE" 2 2 112 2.40909545077834 1.25056874371523
"117" "FE" 4 1 56 0.320364880870382 0.749233722741169
"118" "FE" 4 1 56 0.498755452528444 1.01098488157191
"119" "FE" 4 1 56 0.91716794038165 1.03394207469721
"120" "FE" 4 1 56 1.2812022078712 1.06612610410961
"121" "FE" 4 1 56 2.09325995469359 1.08746988603687
"122" "FE" 4 1 56 0.424458888157432 0.978889270308297
"123" "FE" 4 1 56 0.603494867212866 1.04423503288255
"124" "FE" 4 1 56 0.879046657302927 1.03098124131663
"125" "FE" 4 1 56 1.44402589833846 1.08052123915876
"126" "FE" 4 1 56 2.12176541911804 1.08776404643619
"127" "FE" 4 1 112 0.320364880870382 0.770273074727769
"128" "FE" 4 1 112 0.498755452528444 0.748333675000599
"129" "FE" 4 1 112 0.91716794038165 0.988562477783697
"130" "FE" 4 1 112 1.2812022078712 1.05702631527639
"131" "FE" 4 1 112 2.09325995469359 1.11855967319181
"132" "FE" 4 1 112 0.424458888157432 0.658008770384121
"133" "FE" 4 1 112 0.603494867212866 0.891181465156497
"134" "FE" 4 1 112 0.879046657302927 0.981016140504655
"135" "FE" 4 1 112 1.44402589833846 1.08764852774278
"136" "FE" 4 1 112 2.12176541911804 1.11989711257291
"137" "FE" 4 2 56 0.457779488002724 0.871594566883208
"138" "FE" 4 2 56 0.665345203086195 0.971651907458919
"139" "FE" 4 2 56 1.05155924362371 1.05329053284121
"140" "FE" 4 2 56 1.49507427035245 1.14279718638692
"141" "FE" 4 2 56 0.58316645895587 0.936607155102159
"142" "FE" 4 2 56 0.75937667458979 1.01120292393847
"143" "FE" 4 2 56 1.02203069766854 1.04990563911342
"144" "FE" 4 2 56 1.53954741810961 1.15179338932006
"145" "FE" 4 2 56 2.40909545077834 1.08088182645693
"146" "FE" 4 2 112 0.457779488002724 0.745693083979099
"147" "FE" 4 2 112 0.665345203086195 0.85848921348687
"148" "FE" 4 2 112 1.05155924362371 1.07061163499189
"149" "FE" 4 2 112 1.49507427035245 1.10940108124373
"150" "FE" 4 2 112 0.58316645895587 0.817132901059984
"151" "FE" 4 2 112 0.75937667458979 0.905414258781617
"152" "FE" 4 2 112 1.02203069766854 1.05370807415196
